121: [None, 'L3 = Faça uma MT que tenha como entrada um número binário qualquer e gere como saída o QUÁDRUPLO DO NÚMERO BINÁRIO', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'entrada', 'decimal', 'saída', None, None, None]
149: [None, None, None, None, None, None, None, None, 'q2', 'q2,0,L', 'q2,1,L', 'q3,□,R', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
150: [None, None, None, None, None, None, None, None, 'q3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
152: [None, 'L4 = Faça uma MT que tenha como entrada um número binário qualquer e gere como saída número INCREMENTADO EM UMA UNIDADE', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
155: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'entrada', 'decimal', 'saída', None, None, None]
156: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0, 0, 1, None, None, None]
164: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1, 1, 10, None, None, None]
165: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 10, 2, 11, None, None, None]
166: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 11, 3, 100, None, None, None]
167: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 100, 4, 101, None, None, None]
168: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 101, 5, 110, None, None, None]
169: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 110, 6, 111, None, None, None]
170: [None, 'MT - DESCRIÇÃO FORMAL', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 111, 7, 1000, None, None, None]
171: [None, 'Σ = {}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1000, 8, 1001, None, None, None]
172: [None, 'E = {}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1001, 9, 1010, None, None, None]
173: [None, 'i = ', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1010, 10, 1011, None, None, None]
174: [None, 'F = {}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1011, 11, 1100, None, None, None]
175: [None, 'β = ', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1100, 12, 1101, None, None, None]
176: [None, 'Γ = {}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1101, 13, 1110, None, None, None]
177: [None, None, None, None, None, None, None, None, None, 'Σ', None, 'Γ', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
186: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1110, 14, 1111, None, None, None]
187: [None, 'L5 = Faça uma MT que tenha como entrada um número binário qualquer e gere como saída número DECREMENTADO EM UMA UNIDADE', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1111, 15, 10000, None, None, None]
205: [None, 'MT - DESCRIÇÃO FORMAL', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
206: [None, 'Σ = {}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
207: [None, 'E = {}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
208: [None, 'i = ', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
209: [None, 'F = {}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
210: [None, 'β = ', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
211: [None, 'Γ = {}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'entrada', 'decimal', 'saída', None, None, None]
212: [None, 'Função de Transição', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
213: [None, None, None, None, None, None, None, None, 'Σ', None, 'Γ', None, None, None, None, None, None, None, None, None, 1, 1, 0, None, None, None]
214: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 10, 2, 1, None, None, None]
215: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 11, 3, 10, None, None, None]
216: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 100, 4, 11, None, None, None]
217: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 101, 5, 100, None, None, None]
218: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 110, 6, 101, None, None, None]
219: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 111, 7, 110, None, None, None]
220: [None, 'L6 = Faça uma MT que tenha como entrada uma palavra qualquer com a, b, c e gera como saída a PALAVRA DUPLICADA ww', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1000, 8, 111, None, None, None]
221: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1001, 9, 1000, None, None, None]
222: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1010, 10, 1001, None, None, None]
223: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1011, 11, 1010, None, None, None]
224: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1100, 12, 1011, None, None, None]
225: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1101, 13, 1100, None, None, None]
226: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1110, 14, 1101, None, None, None]
227: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1111, 15, 1110, None, None, None]
